PPDA Serie A 2018/2019,,,
PPDA Home,Home Team,PPDA Away,Away Team
14.78,Empoli,14.82,Chievo
13.83,Frosinone,10.13,Lazio
12.07,Genoa,6.63,Sassuolo
6.54,Inter,18.81,Bologna
8.33,Juventus,20.29,Parma Calcio 1913
24.43,Napoli,16.5,Sampdoria
15.83,Roma,13.59,AC Milan
8.32,Atalanta,13.77,SPAL 2013
6.12,Bologna,9.06,Genoa
9.42,Chievo,22.54,Roma
12.17,Fiorentina,4.93,Napoli
13.15,Lazio,17.67,Empoli
9.9,AC Milan,11.52,Cagliari
11.58,Parma Calcio 1913,7.05,Inter
5.31,Sampdoria,13.52,Frosinone
14.59,Sassuolo,11.81,Juventus
